,angle,power
0,0.0,17.19977
1,0.06981317007977318,19.99977
2,0.17453292519943295,22.69977
3,0.20943951023931953,23.89977
4,0.2792526803190927,23.099770000000003
5,0.3141592653589793,22.99977
6,0.3490658503988659,21.99977
7,0.4363323129985824,20.99977
8,0.5235987755982988,17.39977
9,0.6108652381980153,14.69977
10,0.6981317007977318,10.29977
11,0.7853981633974483,6.29977
12,0.8726646259971648,3.2997699999999996
13,0.9599310885968813,0.96977
14,0.9948376736367678,0.71977
15,1.0122909661567112,0.34976999999999997
16,1.0471975511965976,0.08477000000000001
17,1.0821041362364843,0.02877
18,1.117010721276371,0.20576999999999998
19,1.1344640137963142,0.30177
20,1.2217304763960306,2.49977
