,power,angle
0,1.3697222150449714e-08,1.7453292519943295
1,0.00011610935322687957,1.0821041362364843
2,4.740135337931035e-05,2.0943951023931953
3,1.4617752497482378e-06,1.6929693744344996
4,5.3631156208121825e-05,1.3962634015954636
5,0.00012212402757745048,0.9599310885968813
6,7.713660991735536e-05,1.3089969389957472
7,0.00012236400145322436,0.9075712110370514
8,0.00010706590082041932,0.8377580409572781
9,1.3420403034227567e-05,1.9198621771937625
10,8.862905582909461e-05,1.2740903539558606
11,0.00011137451667936025,1.1344640137963142
12,1.3664566525773196e-05,1.5707963267948966
13,0.00011137135995440729,0.7853981633974483
14,9.441786717910447e-06,1.6231562043547263
15,3.7366219586028466e-05,1.4835298641951802
16,0.00011900581235714285,0.8726646259971648
17,9.201383125192012e-05,1.2217304763960306
18,2.3647034679425837e-06,1.8325957145940461
19,0.00010476481173684209,1.1693705988362006
20,0.00012103741899133174,1.0471975511965976
21,4.775942483214649e-06,1.6580627893946132
22,0.00012052405359735973,0.9948376736367678
23,1.127015502020202e-06,1.7976891295541593
24,6.50926694572025e-05,1.3439035240356338
